Project,LLM,Mode,Model_Type,Model_Complexity,Pipeline_Structure,Preprocessing_Level,Feature_Engineering,Hyperparameter_Tuning,Code_Length_Class,Dependency_Level,Use_of_Pipeline_API,Error_Handling,Determinism,Optimization_Strategy,Notes
FakeNewsPrediction,codex,assisted,Logistic Regression,simple,standard,none,basic,none,medium,moderate,no,none,yes,fewer steps,Retains the original Logistic Regression workflow; Uses text vectorization or combined text features
FakeNewsPrediction,gemini,assisted,Logistic Regression,simple,standard,none,basic,none,short,moderate,no,basic,yes,fewer steps,Retains the original Logistic Regression workflow; Adds robust input fallback logic; Uses text vectorization or combined text features
FakeNewsPrediction,codex,autonomous,Logistic Regression,simple,complex,advanced,basic,none,long,moderate,yes,basic,yes,simpler model,Adds a structured sklearn pipeline; Adds robust input fallback logic; Uses text vectorization or combined text features
FakeNewsPrediction,gemini,autonomous,Logistic Regression,simple,standard,basic,basic,none,medium,moderate,no,basic,yes,simpler model,Adds robust input fallback logic; Uses text vectorization or combined text features
HWStudentGradPredictor,chatgpt,original,Neural Network,high,minimal,none,none,none,short,moderate,no,none,yes,no clear optimisation,
HWStudentGradPredictor,codex,assisted,Neural Network,high,minimal,none,none,none,medium,moderate,no,none,yes,fewer steps,Retains the original Neural Network workflow; Trims unused analysis or plotting code
HWStudentGradPredictor,gemini,assisted,Neural Network,high,minimal,none,none,none,short,moderate,no,basic,yes,efficient data handling,Retains the original Neural Network workflow; Adds robust input fallback logic; Trims unused analysis or plotting code
HWStudentGradPredictor,codex,autonomous,Logistic Regression,simple,complex,advanced,none,none,medium,moderate,yes,basic,yes,simpler model,Switches from Neural Network to Logistic Regression; Adds a structured sklearn pipeline; Adds robust input fallback logic; Uses a schema-robust generic pipeline
HWStudentGradPredictor,gemini,autonomous,Logistic Regression,simple,complex,advanced,none,none,medium,moderate,yes,basic,yes,simpler model,Switches from Neural Network to Logistic Regression; Adds a structured sklearn pipeline; Adds robust input fallback logic
IMDB-Sentiment-Analysis,chatgpt,original,Multinomial Naive Bayes,simple,standard,none,basic,none,short,moderate,no,none,no,no clear optimisation,
IMDB-Sentiment-Analysis,codex,assisted,Multinomial Naive Bayes,simple,standard,none,basic,none,medium,moderate,no,basic,yes,fewer steps,Retains the original Multinomial Naive Bayes workflow; Adds robust input fallback logic; Uses text vectorization or combined text features
IMDB-Sentiment-Analysis,gemini,assisted,Multinomial Naive Bayes,simple,standard,none,basic,none,short,moderate,no,basic,no,fewer steps,Retains the original Multinomial Naive Bayes workflow; Adds robust input fallback logic; Uses text vectorization or combined text features
IMDB-Sentiment-Analysis,codex,autonomous,Logistic Regression,simple,complex,advanced,basic,none,medium,moderate,yes,structured,yes,efficient data handling,Switches from Multinomial Naive Bayes to Logistic Regression; Adds a structured sklearn pipeline; Adds robust input fallback logic
IMDB-Sentiment-Analysis,gemini,autonomous,Logistic Regression,simple,complex,basic,basic,none,medium,moderate,yes,basic,yes,simpler model,Switches from Multinomial Naive Bayes to Logistic Regression; Adds a structured sklearn pipeline; Adds robust input fallback logic
Iris-Classification-ML-problem,chatgpt,original,Neural Network,High,Standard,Basic,None,Basic,Long,Heavy,No,None,Yes,No clear optimisation,"PyTorch-based feedforward neural network for Iris classification with manual rescaling, custom Dataset/DataLoader setup, GPU-aware execution, and repeated training/evaluation over 200 epochs"
Iris-Classification-ML-problem,codex,assisted,Neural Network,High,Standard,Basic,None,Basic,Long,Heavy,No,None,Yes,Efficient data handling,"Refactored PyTorch feedforward neural network with lightweight batch iteration, one-time device transfer, removal of per-epoch evaluation, single-pass normalization, and robust CSV parsing while preserving the original modeling approach"
Iris-Classification-ML-problem,gemini,assisted,Neural Network,High,Standard,Basic,None,Basic,Long,Heavy,No,None,Yes,Efficient data handling,"Refactored PyTorch feedforward neural network by removing DataLoader and Dataset abstractions, training on the full in-memory tensor, minimizing device transfers, simplifying preprocessing, and eliminating per-epoch logging while preserving the original modeling approach"
Iris-Classification-ML-problem,codex,autonomous,Logistic Regression,simple,complex,advanced,none,none,long,moderate,yes,structured,yes,simpler model,Adds a structured sklearn pipeline; Adds robust input fallback logic; Uses a schema-robust generic pipeline
Iris-Classification-ML-problem,gemini,autonomous,Logistic Regression,simple,complex,advanced,none,none,medium,moderate,yes,basic,yes,efficient data handling,Adds a structured sklearn pipeline; Adds robust input fallback logic; Uses a schema-robust generic pipeline
Iris-Flower-Classification-Codealpha,chatgpt,original,Logistic Regression,simple,complex,advanced,none,none,short,moderate,yes,none,yes,no clear optimisation,Uses structured preprocessing before training
Iris-Flower-Classification-Codealpha,codex,assisted,Logistic Regression,simple,complex,advanced,none,none,medium,moderate,yes,none,yes,fewer steps,Retains the original Logistic Regression workflow; Trims unused analysis or plotting code
Iris-Flower-Classification-Codealpha,gemini,assisted,Logistic Regression,simple,standard,basic,none,none,short,moderate,yes,basic,yes,efficient data handling,Retains the original Logistic Regression workflow; Adds robust input fallback logic; Trims unused analysis or plotting code
Iris-Flower-Classification-Codealpha,codex,autonomous,Logistic Regression,simple,complex,advanced,none,none,long,moderate,yes,structured,yes,simpler model,Adds robust input fallback logic; Uses a schema-robust generic pipeline
Iris-Flower-Classification-Codealpha,gemini,autonomous,Logistic Regression,simple,complex,advanced,none,none,medium,moderate,yes,structured,yes,simpler model,Adds robust input fallback logic; Uses a schema-robust generic pipeline
Iris-Flower-Classification-Codealpha2,chatgpt,original,Support Vector Machine,moderate,complex,advanced,none,basic,short,moderate,yes,none,yes,no clear optimisation,Uses structured preprocessing before training
Iris-Flower-Classification-Codealpha2,codex,assisted,Support Vector Machine,moderate,complex,advanced,none,basic,short,moderate,yes,none,yes,fewer steps,Retains the original Support Vector Machine workflow; Trims unused analysis or plotting code
Iris-Flower-Classification-Codealpha2,gemini,assisted,Support Vector Machine,moderate,standard,basic,none,basic,short,moderate,yes,basic,yes,efficient data handling,Retains the original Support Vector Machine workflow; Adds robust input fallback logic; Trims unused analysis or plotting code
Iris-Flower-Classification-Codealpha2,codex,autonomous,Logistic Regression,simple,complex,advanced,none,none,medium,moderate,yes,structured,yes,simpler model,Switches from Support Vector Machine to Logistic Regression; Adds robust input fallback logic; Uses a schema-robust generic pipeline
Iris-Flower-Classification-Codealpha2,gemini,autonomous,Logistic Regression,simple,standard,advanced,none,none,medium,moderate,no,basic,yes,simpler model,Switches from Support Vector Machine to Logistic Regression; Adds robust input fallback logic
Iris-Flower-Classification-Codealpha3,chatgpt,original,Random Forest,moderate,standard,basic,none,basic,short,moderate,no,none,yes,no clear optimisation,
Iris-Flower-Classification-Codealpha3,codex,assisted,Random Forest,moderate,standard,basic,none,basic,short,moderate,no,none,yes,fewer steps,Retains the original Random Forest workflow; Trims unused analysis or plotting code
Iris-Flower-Classification-Codealpha3,gemini,assisted,Random Forest,moderate,standard,basic,none,basic,short,moderate,no,basic,yes,fewer steps,Retains the original Random Forest workflow; Adds robust input fallback logic; Trims unused analysis or plotting code
Iris-Flower-Classification-Codealpha3,codex,autonomous,Logistic Regression,simple,complex,advanced,none,none,long,moderate,yes,structured,yes,simpler model,Switches from Random Forest to Logistic Regression; Adds a structured sklearn pipeline; Adds robust input fallback logic; Uses a schema-robust generic pipeline
Iris-Flower-Classification-Codealpha3,gemini,autonomous,Logistic Regression,simple,complex,advanced,none,none,medium,moderate,yes,structured,yes,simpler model,Switches from Random Forest to Logistic Regression; Adds a structured sklearn pipeline; Adds robust input fallback logic
