project,relative_path,mode,llm,size_bytes,size_kb
BREAST-CANCER-PREDICTION-SYSTEM,BREAST-CANCER-PREDICTION-SYSTEM/GENAIGREENML_assisted_codex.py,assisted,codex,4495,4.390
BREAST-CANCER-PREDICTION-SYSTEM,BREAST-CANCER-PREDICTION-SYSTEM/GENAIGREENML_assisted_gemini.py,assisted,gemini,2238,2.186
BREAST-CANCER-PREDICTION-SYSTEM,BREAST-CANCER-PREDICTION-SYSTEM/GENAIGREENML_autonomous_chatgpt.py,autonomous,chatgpt,11504,11.234
BREAST-CANCER-PREDICTION-SYSTEM,BREAST-CANCER-PREDICTION-SYSTEM/GENAIGREENML_autonomous_claude.py,autonomous,claude,3257,3.181
BREAST-CANCER-PREDICTION-SYSTEM,BREAST-CANCER-PREDICTION-SYSTEM/GENAIGREENML_autonomous_codex.py,autonomous,codex,6663,6.507
BREAST-CANCER-PREDICTION-SYSTEM,BREAST-CANCER-PREDICTION-SYSTEM/GENAIGREENML_autonomous_gemini.py,autonomous,gemini,4959,4.843
BREAST-CANCER-PREDICTION-SYSTEM,BREAST-CANCER-PREDICTION-SYSTEM/GENAIGREENML_original_telemetry_chatgpt.py,original,chatgpt,2242,2.189
BreastCancer_Classification,BreastCancer_Classification/GENAIGREENML_assisted_chatgpt.py,assisted,chatgpt,4815,4.702
BreastCancer_Classification,BreastCancer_Classification/GENAIGREENML_assisted_claude.py,assisted,claude,2324,2.270
BreastCancer_Classification,BreastCancer_Classification/GENAIGREENML_assisted_codex.py,assisted,codex,4235,4.136
BreastCancer_Classification,BreastCancer_Classification/GENAIGREENML_assisted_gemini.py,assisted,gemini,2178,2.127
BreastCancer_Classification,BreastCancer_Classification/GENAIGREENML_autonomous_chatgpt.py,autonomous,chatgpt,10219,9.979
BreastCancer_Classification,BreastCancer_Classification/GENAIGREENML_autonomous_codex.py,autonomous,codex,6597,6.442
BreastCancer_Classification,BreastCancer_Classification/GENAIGREENML_original_telemetry_chatgpt.py,original,chatgpt,2547,2.487
CT_Project,CT_Project/GENAIGREENML_assisted_chatgpt.py,assisted,chatgpt,2929,2.860
CT_Project,CT_Project/GENAIGREENML_assisted_claude.py,assisted,claude,2108,2.059
CT_Project,CT_Project/GENAIGREENML_assisted_codex.py,assisted,codex,3046,2.975
CT_Project,CT_Project/GENAIGREENML_assisted_gemini.py,assisted,gemini,2371,2.315
CT_Project,CT_Project/GENAIGREENML_autonomous_chatgpt.py,autonomous,chatgpt,8704,8.500
CT_Project,CT_Project/GENAIGREENML_autonomous_claude.py,autonomous,claude,3060,2.988
CT_Project,CT_Project/GENAIGREENML_autonomous_codex.py,autonomous,codex,7799,7.616
CT_Project,CT_Project/GENAIGREENML_autonomous_gemini.py,autonomous,gemini,4139,4.042
CT_Project,CT_Project/GENAIGREENML_original_telemetry_chatgpt.py,original,chatgpt,1648,1.609
Classification-with-xgboost-on-binary.csv-data,Classification-with-xgboost-on-binary.csv-data/GENAIGREENML_assisted_chatgpt.py,assisted,chatgpt,4376,4.273
Classification-with-xgboost-on-binary.csv-data,Classification-with-xgboost-on-binary.csv-data/GENAIGREENML_assisted_claude.py,assisted,claude,2134,2.084
Classification-with-xgboost-on-binary.csv-data,Classification-with-xgboost-on-binary.csv-data/GENAIGREENML_assisted_codex.py,assisted,codex,3299,3.222
Classification-with-xgboost-on-binary.csv-data,Classification-with-xgboost-on-binary.csv-data/GENAIGREENML_assisted_gemini.py,assisted,gemini,2280,2.227
Classification-with-xgboost-on-binary.csv-data,Classification-with-xgboost-on-binary.csv-data/GENAIGREENML_autonomous_chatgpt.py,autonomous,chatgpt,10311,10.069
Classification-with-xgboost-on-binary.csv-data,Classification-with-xgboost-on-binary.csv-data/GENAIGREENML_autonomous_claude.py,autonomous,claude,3117,3.044
Classification-with-xgboost-on-binary.csv-data,Classification-with-xgboost-on-binary.csv-data/GENAIGREENML_autonomous_codex.py,autonomous,codex,8125,7.935
Classification-with-xgboost-on-binary.csv-data,Classification-with-xgboost-on-binary.csv-data/GENAIGREENML_autonomous_gemini.py,autonomous,gemini,4700,4.590
Classification-with-xgboost-on-binary.csv-data,Classification-with-xgboost-on-binary.csv-data/GENAIGREENML_original_telemetry_chatgpt.py,original,chatgpt,1353,1.321
CodeAlpha_IrisClassification,CodeAlpha_IrisClassification/GENAIGREENML_assisted_chatgpt.py,assisted,chatgpt,3770,3.682
CodeAlpha_IrisClassification,CodeAlpha_IrisClassification/GENAIGREENML_assisted_claude.py,assisted,claude,2061,2.013
CodeAlpha_IrisClassification,CodeAlpha_IrisClassification/GENAIGREENML_assisted_codex.py,assisted,codex,3221,3.146
CodeAlpha_IrisClassification,CodeAlpha_IrisClassification/GENAIGREENML_assisted_gemini.py,assisted,gemini,2237,2.185
CodeAlpha_IrisClassification,CodeAlpha_IrisClassification/GENAIGREENML_autonomous_chatgpt.py,autonomous,chatgpt,10021,9.786
CodeAlpha_IrisClassification,CodeAlpha_IrisClassification/GENAIGREENML_autonomous_claude.py,autonomous,claude,3066,2.994
CodeAlpha_IrisClassification,CodeAlpha_IrisClassification/GENAIGREENML_autonomous_codex.py,autonomous,codex,8162,7.971
CodeAlpha_IrisClassification,CodeAlpha_IrisClassification/GENAIGREENML_autonomous_gemini.py,autonomous,gemini,4541,4.435
CodeAlpha_IrisClassification,CodeAlpha_IrisClassification/GENAIGREENML_original_telemetry_chatgpt.py,original,chatgpt,1369,1.337
Cuisine-Predictor,Cuisine-Predictor/GENAIGREENML_assisted_chatgpt.py,assisted,chatgpt,3443,3.362
Cuisine-Predictor,Cuisine-Predictor/GENAIGREENML_assisted_claude.py,assisted,claude,3420,3.340
Cuisine-Predictor,Cuisine-Predictor/GENAIGREENML_assisted_codex.py,assisted,codex,5824,5.688
Cuisine-Predictor,Cuisine-Predictor/GENAIGREENML_assisted_gemini.py,assisted,gemini,3925,3.833
Cuisine-Predictor,Cuisine-Predictor/GENAIGREENML_autonomous_chatgpt.py,autonomous,chatgpt,12169,11.884
Cuisine-Predictor,Cuisine-Predictor/GENAIGREENML_autonomous_codex.py,autonomous,codex,8065,7.876
Cuisine-Predictor,Cuisine-Predictor/GENAIGREENML_autonomous_gemini.py,autonomous,gemini,5104,4.984
Cuisine-Predictor,Cuisine-Predictor/GENAIGREENML_original_telemetry_chatgpt.py,original,chatgpt,2900,2.832
Decision-Trees,Decision-Trees/GENAIGREENML_assisted_chatgpt.py,assisted,chatgpt,13384,13.070
Decision-Trees,Decision-Trees/GENAIGREENML_assisted_claude.py,assisted,claude,6838,6.678
Decision-Trees,Decision-Trees/GENAIGREENML_assisted_codex.py,assisted,codex,11373,11.106
Decision-Trees,Decision-Trees/GENAIGREENML_assisted_gemini.py,assisted,gemini,7174,7.006
Decision-Trees,Decision-Trees/GENAIGREENML_autonomous_chatgpt.py,autonomous,chatgpt,9413,9.192
Decision-Trees,Decision-Trees/GENAIGREENML_autonomous_codex.py,autonomous,codex,9843,9.612
Decision-Trees,Decision-Trees/GENAIGREENML_autonomous_gemini.py,autonomous,gemini,5179,5.058
Decision-Trees,Decision-Trees/GENAIGREENML_original_telemetry_chatgpt.py,original,chatgpt,10341,10.099
DecisionTreeClassifier,DecisionTreeClassifier/GENAIGREENML_assisted_chatgpt.py,assisted,chatgpt,2674,2.611
DecisionTreeClassifier,DecisionTreeClassifier/GENAIGREENML_assisted_claude.py,assisted,claude,1414,1.381
DecisionTreeClassifier,DecisionTreeClassifier/GENAIGREENML_assisted_codex.py,assisted,codex,2254,2.201
DecisionTreeClassifier,DecisionTreeClassifier/GENAIGREENML_assisted_gemini.py,assisted,gemini,1664,1.625
DecisionTreeClassifier,DecisionTreeClassifier/GENAIGREENML_autonomous_chatgpt.py,autonomous,chatgpt,10814,10.561
DecisionTreeClassifier,DecisionTreeClassifier/GENAIGREENML_autonomous_claude.py,autonomous,claude,3105,3.032
DecisionTreeClassifier,DecisionTreeClassifier/GENAIGREENML_autonomous_codex.py,autonomous,codex,6825,6.665
DecisionTreeClassifier,DecisionTreeClassifier/GENAIGREENML_autonomous_gemini.py,autonomous,gemini,4835,4.722
DecisionTreeClassifier,DecisionTreeClassifier/GENAIGREENML_original_telemetry_chatgpt.py,original,chatgpt,598,0.584
Deep-Learning-Classification,Deep-Learning-Classification/GENAIGREENML_assisted_chatgpt.py,assisted,chatgpt,5050,4.932
Deep-Learning-Classification,Deep-Learning-Classification/GENAIGREENML_assisted_claude.py,assisted,claude,3141,3.067
Deep-Learning-Classification,Deep-Learning-Classification/GENAIGREENML_assisted_codex.py,assisted,codex,4335,4.233
Deep-Learning-Classification,Deep-Learning-Classification/GENAIGREENML_assisted_gemini.py,assisted,gemini,2793,2.728
Deep-Learning-Classification,Deep-Learning-Classification/GENAIGREENML_autonomous_chatgpt.py,autonomous,chatgpt,8202,8.010
Deep-Learning-Classification,Deep-Learning-Classification/GENAIGREENML_autonomous_codex.py,autonomous,codex,6716,6.559
Deep-Learning-Classification,Deep-Learning-Classification/GENAIGREENML_autonomous_gemini.py,autonomous,gemini,5450,5.322
Deep-Learning-Classification,Deep-Learning-Classification/GENAIGREENML_original_telemetry_chatgpt.py,original,chatgpt,1921,1.876
Deep-learning-classification-based-model-for-screening-compounds-with-hERG-inhibitory-activity,Deep-learning-classification-based-model-for-screening-compounds-with-hERG-inhibitory-activity/GENAIGREENML_assisted_chatgpt.py,assisted,chatgpt,6398,6.248
Deep-learning-classification-based-model-for-screening-compounds-with-hERG-inhibitory-activity,Deep-learning-classification-based-model-for-screening-compounds-with-hERG-inhibitory-activity/GENAIGREENML_assisted_claude.py,assisted,claude,2939,2.870
Deep-learning-classification-based-model-for-screening-compounds-with-hERG-inhibitory-activity,Deep-learning-classification-based-model-for-screening-compounds-with-hERG-inhibitory-activity/GENAIGREENML_assisted_codex.py,assisted,codex,6544,6.391
Deep-learning-classification-based-model-for-screening-compounds-with-hERG-inhibitory-activity,Deep-learning-classification-based-model-for-screening-compounds-with-hERG-inhibitory-activity/GENAIGREENML_assisted_gemini.py,assisted,gemini,3492,3.410
Deep-learning-classification-based-model-for-screening-compounds-with-hERG-inhibitory-activity,Deep-learning-classification-based-model-for-screening-compounds-with-hERG-inhibitory-activity/GENAIGREENML_autonomous_chatgpt.py,autonomous,chatgpt,10135,9.897
Deep-learning-classification-based-model-for-screening-compounds-with-hERG-inhibitory-activity,Deep-learning-classification-based-model-for-screening-compounds-with-hERG-inhibitory-activity/GENAIGREENML_autonomous_codex.py,autonomous,codex,7736,7.555
Deep-learning-classification-based-model-for-screening-compounds-with-hERG-inhibitory-activity,Deep-learning-classification-based-model-for-screening-compounds-with-hERG-inhibitory-activity/GENAIGREENML_autonomous_gemini.py,autonomous,gemini,5205,5.083
Deep-learning-classification-based-model-for-screening-compounds-with-hERG-inhibitory-activity,Deep-learning-classification-based-model-for-screening-compounds-with-hERG-inhibitory-activity/GENAIGREENML_original_telemetry_chatgpt.py,original,chatgpt,4198,4.100
Diabetes-Classification-with-SVM,Diabetes-Classification-with-SVM/GENAIGREENML_assisted_chatgpt.py,assisted,chatgpt,3619,3.534
Diabetes-Classification-with-SVM,Diabetes-Classification-with-SVM/GENAIGREENML_assisted_claude.py,assisted,claude,2366,2.311
Diabetes-Classification-with-SVM,Diabetes-Classification-with-SVM/GENAIGREENML_assisted_codex.py,assisted,codex,3120,3.047
Diabetes-Classification-with-SVM,Diabetes-Classification-with-SVM/GENAIGREENML_assisted_gemini.py,assisted,gemini,2747,2.683
Diabetes-Classification-with-SVM,Diabetes-Classification-with-SVM/GENAIGREENML_autonomous_chatgpt.py,autonomous,chatgpt,11572,11.301
Diabetes-Classification-with-SVM,Diabetes-Classification-with-SVM/GENAIGREENML_autonomous_claude.py,autonomous,claude,3121,3.048
Diabetes-Classification-with-SVM,Diabetes-Classification-with-SVM/GENAIGREENML_autonomous_codex.py,autonomous,codex,6955,6.792
Diabetes-Classification-with-SVM,Diabetes-Classification-with-SVM/GENAIGREENML_autonomous_gemini.py,autonomous,gemini,5168,5.047
Diabetes-Classification-with-SVM,Diabetes-Classification-with-SVM/GENAIGREENML_original_telemetry_chatgpt.py,original,chatgpt,1611,1.573
Email-spam-detector,Email-spam-detector/GENAIGREENML_assisted_chatgpt.py,assisted,chatgpt,3794,3.705
Email-spam-detector,Email-spam-detector/GENAIGREENML_assisted_claude.py,assisted,claude,2581,2.521
Email-spam-detector,Email-spam-detector/GENAIGREENML_assisted_codex.py,assisted,codex,3223,3.147
Email-spam-detector,Email-spam-detector/GENAIGREENML_assisted_gemini.py,assisted,gemini,4651,4.542
Email-spam-detector,Email-spam-detector/GENAIGREENML_autonomous_chatgpt.py,autonomous,chatgpt,11903,11.624
Email-spam-detector,Email-spam-detector/GENAIGREENML_autonomous_codex.py,autonomous,codex,8001,7.813
Email-spam-detector,Email-spam-detector/GENAIGREENML_autonomous_gemini.py,autonomous,gemini,4929,4.813
Email-spam-detector,Email-spam-detector/GENAIGREENML_original_telemetry_chatgpt.py,original,chatgpt,3061,2.989
FakeNewsPrediction,FakeNewsPrediction/GENAIGREENML_assisted_chatgpt.py,assisted,chatgpt,4222,4.123
FakeNewsPrediction,FakeNewsPrediction/GENAIGREENML_assisted_claude.py,assisted,claude,2597,2.536
FakeNewsPrediction,FakeNewsPrediction/GENAIGREENML_assisted_codex.py,assisted,codex,3701,3.614
FakeNewsPrediction,FakeNewsPrediction/GENAIGREENML_assisted_gemini.py,assisted,gemini,2515,2.456
FakeNewsPrediction,FakeNewsPrediction/GENAIGREENML_autonomous_chatgpt.py,autonomous,chatgpt,10435,10.190
FakeNewsPrediction,FakeNewsPrediction/GENAIGREENML_autonomous_codex.py,autonomous,codex,8365,8.169
FakeNewsPrediction,FakeNewsPrediction/GENAIGREENML_autonomous_gemini.py,autonomous,gemini,4966,4.850
FakeNewsPrediction,FakeNewsPrediction/GENAIGREENML_original_telemetry_chatgpt.py,original,chatgpt,984,0.961
HWStudentGradPredictor,HWStudentGradPredictor/GENAIGREENML_assisted_chatgpt.py,assisted,chatgpt,4411,4.308
HWStudentGradPredictor,HWStudentGradPredictor/GENAIGREENML_assisted_claude.py,assisted,claude,1663,1.624
HWStudentGradPredictor,HWStudentGradPredictor/GENAIGREENML_assisted_codex.py,assisted,codex,3433,3.353
HWStudentGradPredictor,HWStudentGradPredictor/GENAIGREENML_assisted_gemini.py,assisted,gemini,1924,1.879
HWStudentGradPredictor,HWStudentGradPredictor/GENAIGREENML_autonomous_chatgpt.py,autonomous,chatgpt,8217,8.024
HWStudentGradPredictor,HWStudentGradPredictor/GENAIGREENML_autonomous_codex.py,autonomous,codex,6460,6.309
HWStudentGradPredictor,HWStudentGradPredictor/GENAIGREENML_autonomous_gemini.py,autonomous,gemini,4812,4.699
HWStudentGradPredictor,HWStudentGradPredictor/GENAIGREENML_original_telemetry_chatgpt.py,original,chatgpt,1003,0.979
IMDB-Sentiment-Analysis,IMDB-Sentiment-Analysis/GENAIGREENML_assisted_chatgpt.py,assisted,chatgpt,3343,3.265
IMDB-Sentiment-Analysis,IMDB-Sentiment-Analysis/GENAIGREENML_assisted_claude.py,assisted,claude,1758,1.717
IMDB-Sentiment-Analysis,IMDB-Sentiment-Analysis/GENAIGREENML_assisted_codex.py,assisted,codex,3392,3.312
IMDB-Sentiment-Analysis,IMDB-Sentiment-Analysis/GENAIGREENML_assisted_gemini.py,assisted,gemini,1962,1.916
IMDB-Sentiment-Analysis,IMDB-Sentiment-Analysis/GENAIGREENML_autonomous_chatgpt.py,autonomous,chatgpt,10093,9.856
IMDB-Sentiment-Analysis,IMDB-Sentiment-Analysis/GENAIGREENML_autonomous_claude.py,autonomous,claude,2969,2.899
IMDB-Sentiment-Analysis,IMDB-Sentiment-Analysis/GENAIGREENML_autonomous_codex.py,autonomous,codex,6660,6.504
IMDB-Sentiment-Analysis,IMDB-Sentiment-Analysis/GENAIGREENML_autonomous_gemini.py,autonomous,gemini,4872,4.758
IMDB-Sentiment-Analysis,IMDB-Sentiment-Analysis/GENAIGREENML_original_telemetry_chatgpt.py,original,chatgpt,1633,1.595
Iris-Classification-ML-problem,Iris-Classification-ML-problem/GENAIGREENML_assisted_chatgpt.py,assisted,chatgpt,4961,4.845
Iris-Classification-ML-problem,Iris-Classification-ML-problem/GENAIGREENML_assisted_claude.py,assisted,claude,2873,2.806
Iris-Classification-ML-problem,Iris-Classification-ML-problem/GENAIGREENML_assisted_codex.py,assisted,codex,4932,4.816
Iris-Classification-ML-problem,Iris-Classification-ML-problem/GENAIGREENML_assisted_gemini.py,assisted,gemini,3197,3.122
Iris-Classification-ML-problem,Iris-Classification-ML-problem/GENAIGREENML_autonomous_chatgpt.py,autonomous,chatgpt,11277,11.013
Iris-Classification-ML-problem,Iris-Classification-ML-problem/GENAIGREENML_autonomous_codex.py,autonomous,codex,8522,8.322
Iris-Classification-ML-problem,Iris-Classification-ML-problem/GENAIGREENML_autonomous_gemini.py,autonomous,gemini,5296,5.172
Iris-Classification-ML-problem,Iris-Classification-ML-problem/GENAIGREENML_original_telemetry_chatgpt.py,original,chatgpt,3182,3.107
Iris-Flower-Classification-Codealpha,Iris-Flower-Classification-Codealpha/GENAIGREENML_assisted_chatgpt.py,assisted,chatgpt,3053,2.981
Iris-Flower-Classification-Codealpha,Iris-Flower-Classification-Codealpha/GENAIGREENML_assisted_claude.py,assisted,claude,2089,2.040
Iris-Flower-Classification-Codealpha,Iris-Flower-Classification-Codealpha/GENAIGREENML_assisted_codex.py,assisted,codex,3431,3.351
Iris-Flower-Classification-Codealpha,Iris-Flower-Classification-Codealpha/GENAIGREENML_assisted_gemini.py,assisted,gemini,2195,2.144
Iris-Flower-Classification-Codealpha,Iris-Flower-Classification-Codealpha/GENAIGREENML_autonomous_chatgpt.py,autonomous,chatgpt,8539,8.339
Iris-Flower-Classification-Codealpha,Iris-Flower-Classification-Codealpha/GENAIGREENML_autonomous_claude.py,autonomous,claude,3165,3.091
Iris-Flower-Classification-Codealpha,Iris-Flower-Classification-Codealpha/GENAIGREENML_autonomous_codex.py,autonomous,codex,7338,7.166
Iris-Flower-Classification-Codealpha,Iris-Flower-Classification-Codealpha/GENAIGREENML_autonomous_gemini.py,autonomous,gemini,4599,4.491
Iris-Flower-Classification-Codealpha,Iris-Flower-Classification-Codealpha/GENAIGREENML_original_telemetry_chatgpt.py,original,chatgpt,1167,1.140
Iris-Flower-Classification-Codealpha2,Iris-Flower-Classification-Codealpha2/GENAIGREENML_assisted_chatgpt.py,assisted,chatgpt,3010,2.939
Iris-Flower-Classification-Codealpha2,Iris-Flower-Classification-Codealpha2/GENAIGREENML_assisted_claude.py,assisted,claude,1924,1.879
Iris-Flower-Classification-Codealpha2,Iris-Flower-Classification-Codealpha2/GENAIGREENML_assisted_codex.py,assisted,codex,2690,2.627
Iris-Flower-Classification-Codealpha2,Iris-Flower-Classification-Codealpha2/GENAIGREENML_assisted_gemini.py,assisted,gemini,1877,1.833
Iris-Flower-Classification-Codealpha2,Iris-Flower-Classification-Codealpha2/GENAIGREENML_autonomous_chatgpt.py,autonomous,chatgpt,9948,9.715
Iris-Flower-Classification-Codealpha2,Iris-Flower-Classification-Codealpha2/GENAIGREENML_autonomous_claude.py,autonomous,claude,3180,3.105
Iris-Flower-Classification-Codealpha2,Iris-Flower-Classification-Codealpha2/GENAIGREENML_autonomous_codex.py,autonomous,codex,5904,5.766
Iris-Flower-Classification-Codealpha2,Iris-Flower-Classification-Codealpha2/GENAIGREENML_autonomous_gemini.py,autonomous,gemini,5548,5.418
Iris-Flower-Classification-Codealpha2,Iris-Flower-Classification-Codealpha2/GENAIGREENML_original_telemetry_chatgpt.py,original,chatgpt,1131,1.104
Iris-Flower-Classification-Codealpha3,Iris-Flower-Classification-Codealpha3/GENAIGREENML_assisted_chatgpt.py,assisted,chatgpt,2617,2.556
Iris-Flower-Classification-Codealpha3,Iris-Flower-Classification-Codealpha3/GENAIGREENML_assisted_claude.py,assisted,claude,1675,1.636
Iris-Flower-Classification-Codealpha3,Iris-Flower-Classification-Codealpha3/GENAIGREENML_assisted_codex.py,assisted,codex,2599,2.538
Iris-Flower-Classification-Codealpha3,Iris-Flower-Classification-Codealpha3/GENAIGREENML_assisted_gemini.py,assisted,gemini,1879,1.835
Iris-Flower-Classification-Codealpha3,Iris-Flower-Classification-Codealpha3/GENAIGREENML_autonomous_chatgpt.py,autonomous,chatgpt,9204,8.988
Iris-Flower-Classification-Codealpha3,Iris-Flower-Classification-Codealpha3/GENAIGREENML_autonomous_claude.py,autonomous,claude,3184,3.109
Iris-Flower-Classification-Codealpha3,Iris-Flower-Classification-Codealpha3/GENAIGREENML_autonomous_codex.py,autonomous,codex,7539,7.362
Iris-Flower-Classification-Codealpha3,Iris-Flower-Classification-Codealpha3/GENAIGREENML_autonomous_gemini.py,autonomous,gemini,4622,4.514
Iris-Flower-Classification-Codealpha3,Iris-Flower-Classification-Codealpha3/GENAIGREENML_original_telemetry_chatgpt.py,original,chatgpt,1010,0.986
Iris-ML-Lab,Iris-ML-Lab/GENAIGREENML_assisted_chatgpt.py,assisted,chatgpt,4096,4.000
Iris-ML-Lab,Iris-ML-Lab/GENAIGREENML_assisted_claude.py,assisted,claude,1595,1.558
Iris-ML-Lab,Iris-ML-Lab/GENAIGREENML_assisted_codex.py,assisted,codex,3129,3.056
Iris-ML-Lab,Iris-ML-Lab/GENAIGREENML_assisted_gemini.py,assisted,gemini,1989,1.942
Iris-ML-Lab,Iris-ML-Lab/GENAIGREENML_autonomous_chatgpt.py,autonomous,chatgpt,8885,8.677
Iris-ML-Lab,Iris-ML-Lab/GENAIGREENML_autonomous_claude.py,autonomous,claude,3370,3.291
Iris-ML-Lab,Iris-ML-Lab/GENAIGREENML_autonomous_codex.py,autonomous,codex,7539,7.362
Iris-ML-Lab,Iris-ML-Lab/GENAIGREENML_autonomous_gemini.py,autonomous,gemini,4652,4.543
Iris-ML-Lab,Iris-ML-Lab/GENAIGREENML_original_telemetry_chatgpt.py,original,chatgpt,934,0.912
JunctionalClassifier,JunctionalClassifier/GENAIGREENML_assisted_chatgpt.py,assisted,chatgpt,4420,4.316
JunctionalClassifier,JunctionalClassifier/GENAIGREENML_assisted_claude.py,assisted,claude,2347,2.292
JunctionalClassifier,JunctionalClassifier/GENAIGREENML_assisted_codex.py,assisted,codex,10455,10.210
JunctionalClassifier,JunctionalClassifier/GENAIGREENML_assisted_gemini.py,assisted,gemini,2876,2.809
JunctionalClassifier,JunctionalClassifier/GENAIGREENML_autonomous_chatgpt.py,autonomous,chatgpt,13419,13.104
JunctionalClassifier,JunctionalClassifier/GENAIGREENML_autonomous_gemini.py,autonomous,gemini,5892,5.754
JunctionalClassifier,JunctionalClassifier/GENAIGREENML_original_telemetry_chatgpt.py,original,chatgpt,3216,3.141
JunctionalClassifier2,JunctionalClassifier2/GENAIGREENML_assisted_chatgpt.py,assisted,chatgpt,3125,3.052
JunctionalClassifier2,JunctionalClassifier2/GENAIGREENML_assisted_claude.py,assisted,claude,1886,1.842
JunctionalClassifier2,JunctionalClassifier2/GENAIGREENML_assisted_codex.py,assisted,codex,5121,5.001
JunctionalClassifier2,JunctionalClassifier2/GENAIGREENML_assisted_gemini.py,assisted,gemini,2354,2.299
JunctionalClassifier2,JunctionalClassifier2/GENAIGREENML_autonomous_chatgpt.py,autonomous,chatgpt,10461,10.216
JunctionalClassifier2,JunctionalClassifier2/GENAIGREENML_autonomous_codex.py,autonomous,codex,9369,9.149
JunctionalClassifier2,JunctionalClassifier2/GENAIGREENML_autonomous_gemini.py,autonomous,gemini,6588,6.434
JunctionalClassifier2,JunctionalClassifier2/GENAIGREENML_original_telemetry_chatgpt.py,original,chatgpt,2892,2.824
JunctionalClassifier3,JunctionalClassifier3/GENAIGREENML_assisted_chatgpt.py,assisted,chatgpt,2694,2.631
JunctionalClassifier3,JunctionalClassifier3/GENAIGREENML_assisted_claude.py,assisted,claude,3512,3.430
JunctionalClassifier3,JunctionalClassifier3/GENAIGREENML_assisted_codex.py,assisted,codex,8662,8.459
JunctionalClassifier3,JunctionalClassifier3/GENAIGREENML_assisted_gemini.py,assisted,gemini,2967,2.897
JunctionalClassifier3,JunctionalClassifier3/GENAIGREENML_autonomous_gemini.py,autonomous,gemini,6460,6.309
