comparison,project,llm,generated_relative_path,original_relative_path,generated_size_bytes,original_size_bytes,delta_size_bytes
original_vs_autonomous,BREAST-CANCER-PREDICTION-SYSTEM,gemini,BREAST-CANCER-PREDICTION-SYSTEM/GENAIGREENML_autonomous_gemini.py,BREAST-CANCER-PREDICTION-SYSTEM/GENAIGREENML_original_telemetry_chatgpt.py,4959,2242,2717
original_vs_assisted,BreastCancer_Classification,chatgpt,BreastCancer_Classification/GENAIGREENML_assisted_chatgpt.py,BreastCancer_Classification/GENAIGREENML_original_telemetry_chatgpt.py,4815,2547,2268
original_vs_assisted,BreastCancer_Classification,claude,BreastCancer_Classification/GENAIGREENML_assisted_claude.py,BreastCancer_Classification/GENAIGREENML_original_telemetry_chatgpt.py,2324,2547,-223
original_vs_assisted,BreastCancer_Classification,codex,BreastCancer_Classification/GENAIGREENML_assisted_codex.py,BreastCancer_Classification/GENAIGREENML_original_telemetry_chatgpt.py,4235,2547,1688
original_vs_assisted,BreastCancer_Classification,gemini,BreastCancer_Classification/GENAIGREENML_assisted_gemini.py,BreastCancer_Classification/GENAIGREENML_original_telemetry_chatgpt.py,2178,2547,-369
original_vs_autonomous,BreastCancer_Classification,chatgpt,BreastCancer_Classification/GENAIGREENML_autonomous_chatgpt.py,BreastCancer_Classification/GENAIGREENML_original_telemetry_chatgpt.py,10219,2547,7672
original_vs_autonomous,BreastCancer_Classification,codex,BreastCancer_Classification/GENAIGREENML_autonomous_codex.py,BreastCancer_Classification/GENAIGREENML_original_telemetry_chatgpt.py,6597,2547,4050
original_vs_assisted,CT_Project,chatgpt,CT_Project/GENAIGREENML_assisted_chatgpt.py,CT_Project/GENAIGREENML_original_telemetry_chatgpt.py,2929,1648,1281
original_vs_assisted,CT_Project,claude,CT_Project/GENAIGREENML_assisted_claude.py,CT_Project/GENAIGREENML_original_telemetry_chatgpt.py,2108,1648,460
original_vs_assisted,CT_Project,codex,CT_Project/GENAIGREENML_assisted_codex.py,CT_Project/GENAIGREENML_original_telemetry_chatgpt.py,3046,1648,1398
original_vs_assisted,CT_Project,gemini,CT_Project/GENAIGREENML_assisted_gemini.py,CT_Project/GENAIGREENML_original_telemetry_chatgpt.py,2371,1648,723
original_vs_autonomous,CT_Project,chatgpt,CT_Project/GENAIGREENML_autonomous_chatgpt.py,CT_Project/GENAIGREENML_original_telemetry_chatgpt.py,8704,1648,7056
original_vs_autonomous,CT_Project,claude,CT_Project/GENAIGREENML_autonomous_claude.py,CT_Project/GENAIGREENML_original_telemetry_chatgpt.py,3060,1648,1412
original_vs_autonomous,CT_Project,codex,CT_Project/GENAIGREENML_autonomous_codex.py,CT_Project/GENAIGREENML_original_telemetry_chatgpt.py,7799,1648,6151
original_vs_autonomous,CT_Project,gemini,CT_Project/GENAIGREENML_autonomous_gemini.py,CT_Project/GENAIGREENML_original_telemetry_chatgpt.py,4139,1648,2491
original_vs_assisted,Classification-with-xgboost-on-binary.csv-data,chatgpt,Classification-with-xgboost-on-binary.csv-data/GENAIGREENML_assisted_chatgpt.py,Classification-with-xgboost-on-binary.csv-data/GENAIGREENML_original_telemetry_chatgpt.py,4376,1353,3023
original_vs_assisted,Classification-with-xgboost-on-binary.csv-data,claude,Classification-with-xgboost-on-binary.csv-data/GENAIGREENML_assisted_claude.py,Classification-with-xgboost-on-binary.csv-data/GENAIGREENML_original_telemetry_chatgpt.py,2134,1353,781
original_vs_assisted,Classification-with-xgboost-on-binary.csv-data,codex,Classification-with-xgboost-on-binary.csv-data/GENAIGREENML_assisted_codex.py,Classification-with-xgboost-on-binary.csv-data/GENAIGREENML_original_telemetry_chatgpt.py,3299,1353,1946
original_vs_assisted,Classification-with-xgboost-on-binary.csv-data,gemini,Classification-with-xgboost-on-binary.csv-data/GENAIGREENML_assisted_gemini.py,Classification-with-xgboost-on-binary.csv-data/GENAIGREENML_original_telemetry_chatgpt.py,2280,1353,927
original_vs_autonomous,Classification-with-xgboost-on-binary.csv-data,chatgpt,Classification-with-xgboost-on-binary.csv-data/GENAIGREENML_autonomous_chatgpt.py,Classification-with-xgboost-on-binary.csv-data/GENAIGREENML_original_telemetry_chatgpt.py,10311,1353,8958
original_vs_autonomous,Classification-with-xgboost-on-binary.csv-data,claude,Classification-with-xgboost-on-binary.csv-data/GENAIGREENML_autonomous_claude.py,Classification-with-xgboost-on-binary.csv-data/GENAIGREENML_original_telemetry_chatgpt.py,3117,1353,1764
original_vs_autonomous,Classification-with-xgboost-on-binary.csv-data,codex,Classification-with-xgboost-on-binary.csv-data/GENAIGREENML_autonomous_codex.py,Classification-with-xgboost-on-binary.csv-data/GENAIGREENML_original_telemetry_chatgpt.py,8125,1353,6772
original_vs_autonomous,Classification-with-xgboost-on-binary.csv-data,gemini,Classification-with-xgboost-on-binary.csv-data/GENAIGREENML_autonomous_gemini.py,Classification-with-xgboost-on-binary.csv-data/GENAIGREENML_original_telemetry_chatgpt.py,4700,1353,3347
original_vs_assisted,CodeAlpha_IrisClassification,chatgpt,CodeAlpha_IrisClassification/GENAIGREENML_assisted_chatgpt.py,CodeAlpha_IrisClassification/GENAIGREENML_original_telemetry_chatgpt.py,3770,1369,2401
original_vs_assisted,CodeAlpha_IrisClassification,claude,CodeAlpha_IrisClassification/GENAIGREENML_assisted_claude.py,CodeAlpha_IrisClassification/GENAIGREENML_original_telemetry_chatgpt.py,2061,1369,692
original_vs_assisted,CodeAlpha_IrisClassification,codex,CodeAlpha_IrisClassification/GENAIGREENML_assisted_codex.py,CodeAlpha_IrisClassification/GENAIGREENML_original_telemetry_chatgpt.py,3221,1369,1852
original_vs_assisted,CodeAlpha_IrisClassification,gemini,CodeAlpha_IrisClassification/GENAIGREENML_assisted_gemini.py,CodeAlpha_IrisClassification/GENAIGREENML_original_telemetry_chatgpt.py,2237,1369,868
original_vs_autonomous,CodeAlpha_IrisClassification,chatgpt,CodeAlpha_IrisClassification/GENAIGREENML_autonomous_chatgpt.py,CodeAlpha_IrisClassification/GENAIGREENML_original_telemetry_chatgpt.py,10021,1369,8652
original_vs_autonomous,CodeAlpha_IrisClassification,claude,CodeAlpha_IrisClassification/GENAIGREENML_autonomous_claude.py,CodeAlpha_IrisClassification/GENAIGREENML_original_telemetry_chatgpt.py,3066,1369,1697
original_vs_autonomous,CodeAlpha_IrisClassification,codex,CodeAlpha_IrisClassification/GENAIGREENML_autonomous_codex.py,CodeAlpha_IrisClassification/GENAIGREENML_original_telemetry_chatgpt.py,8162,1369,6793
original_vs_autonomous,CodeAlpha_IrisClassification,gemini,CodeAlpha_IrisClassification/GENAIGREENML_autonomous_gemini.py,CodeAlpha_IrisClassification/GENAIGREENML_original_telemetry_chatgpt.py,4541,1369,3172
original_vs_assisted,Cuisine-Predictor,chatgpt,Cuisine-Predictor/GENAIGREENML_assisted_chatgpt.py,Cuisine-Predictor/GENAIGREENML_original_telemetry_chatgpt.py,3443,2900,543
original_vs_assisted,Cuisine-Predictor,claude,Cuisine-Predictor/GENAIGREENML_assisted_claude.py,Cuisine-Predictor/GENAIGREENML_original_telemetry_chatgpt.py,3420,2900,520
original_vs_assisted,Cuisine-Predictor,codex,Cuisine-Predictor/GENAIGREENML_assisted_codex.py,Cuisine-Predictor/GENAIGREENML_original_telemetry_chatgpt.py,5824,2900,2924
original_vs_assisted,Cuisine-Predictor,gemini,Cuisine-Predictor/GENAIGREENML_assisted_gemini.py,Cuisine-Predictor/GENAIGREENML_original_telemetry_chatgpt.py,3925,2900,1025
original_vs_autonomous,Cuisine-Predictor,chatgpt,Cuisine-Predictor/GENAIGREENML_autonomous_chatgpt.py,Cuisine-Predictor/GENAIGREENML_original_telemetry_chatgpt.py,12169,2900,9269
original_vs_autonomous,Cuisine-Predictor,codex,Cuisine-Predictor/GENAIGREENML_autonomous_codex.py,Cuisine-Predictor/GENAIGREENML_original_telemetry_chatgpt.py,8065,2900,5165
original_vs_autonomous,Cuisine-Predictor,gemini,Cuisine-Predictor/GENAIGREENML_autonomous_gemini.py,Cuisine-Predictor/GENAIGREENML_original_telemetry_chatgpt.py,5104,2900,2204
original_vs_assisted,Decision-Trees,chatgpt,Decision-Trees/GENAIGREENML_assisted_chatgpt.py,Decision-Trees/GENAIGREENML_original_telemetry_chatgpt.py,13384,10341,3043
original_vs_assisted,Decision-Trees,claude,Decision-Trees/GENAIGREENML_assisted_claude.py,Decision-Trees/GENAIGREENML_original_telemetry_chatgpt.py,6838,10341,-3503
original_vs_assisted,Decision-Trees,codex,Decision-Trees/GENAIGREENML_assisted_codex.py,Decision-Trees/GENAIGREENML_original_telemetry_chatgpt.py,11373,10341,1032
original_vs_assisted,Decision-Trees,gemini,Decision-Trees/GENAIGREENML_assisted_gemini.py,Decision-Trees/GENAIGREENML_original_telemetry_chatgpt.py,7174,10341,-3167
original_vs_autonomous,Decision-Trees,chatgpt,Decision-Trees/GENAIGREENML_autonomous_chatgpt.py,Decision-Trees/GENAIGREENML_original_telemetry_chatgpt.py,9413,10341,-928
original_vs_autonomous,Decision-Trees,codex,Decision-Trees/GENAIGREENML_autonomous_codex.py,Decision-Trees/GENAIGREENML_original_telemetry_chatgpt.py,9843,10341,-498
original_vs_autonomous,Decision-Trees,gemini,Decision-Trees/GENAIGREENML_autonomous_gemini.py,Decision-Trees/GENAIGREENML_original_telemetry_chatgpt.py,5179,10341,-5162
original_vs_assisted,DecisionTreeClassifier,chatgpt,DecisionTreeClassifier/GENAIGREENML_assisted_chatgpt.py,DecisionTreeClassifier/GENAIGREENML_original_telemetry_chatgpt.py,2674,598,2076
original_vs_assisted,DecisionTreeClassifier,claude,DecisionTreeClassifier/GENAIGREENML_assisted_claude.py,DecisionTreeClassifier/GENAIGREENML_original_telemetry_chatgpt.py,1414,598,816
original_vs_assisted,DecisionTreeClassifier,codex,DecisionTreeClassifier/GENAIGREENML_assisted_codex.py,DecisionTreeClassifier/GENAIGREENML_original_telemetry_chatgpt.py,2254,598,1656
original_vs_assisted,DecisionTreeClassifier,gemini,DecisionTreeClassifier/GENAIGREENML_assisted_gemini.py,DecisionTreeClassifier/GENAIGREENML_original_telemetry_chatgpt.py,1664,598,1066
original_vs_autonomous,DecisionTreeClassifier,chatgpt,DecisionTreeClassifier/GENAIGREENML_autonomous_chatgpt.py,DecisionTreeClassifier/GENAIGREENML_original_telemetry_chatgpt.py,10814,598,10216
original_vs_autonomous,DecisionTreeClassifier,claude,DecisionTreeClassifier/GENAIGREENML_autonomous_claude.py,DecisionTreeClassifier/GENAIGREENML_original_telemetry_chatgpt.py,3105,598,2507
original_vs_autonomous,DecisionTreeClassifier,codex,DecisionTreeClassifier/GENAIGREENML_autonomous_codex.py,DecisionTreeClassifier/GENAIGREENML_original_telemetry_chatgpt.py,6825,598,6227
original_vs_autonomous,DecisionTreeClassifier,gemini,DecisionTreeClassifier/GENAIGREENML_autonomous_gemini.py,DecisionTreeClassifier/GENAIGREENML_original_telemetry_chatgpt.py,4835,598,4237
original_vs_assisted,Deep-Learning-Classification,chatgpt,Deep-Learning-Classification/GENAIGREENML_assisted_chatgpt.py,Deep-Learning-Classification/GENAIGREENML_original_telemetry_chatgpt.py,5050,1921,3129
original_vs_assisted,Deep-Learning-Classification,claude,Deep-Learning-Classification/GENAIGREENML_assisted_claude.py,Deep-Learning-Classification/GENAIGREENML_original_telemetry_chatgpt.py,3141,1921,1220
original_vs_assisted,Deep-Learning-Classification,codex,Deep-Learning-Classification/GENAIGREENML_assisted_codex.py,Deep-Learning-Classification/GENAIGREENML_original_telemetry_chatgpt.py,4335,1921,2414
original_vs_assisted,Deep-Learning-Classification,gemini,Deep-Learning-Classification/GENAIGREENML_assisted_gemini.py,Deep-Learning-Classification/GENAIGREENML_original_telemetry_chatgpt.py,2793,1921,872
original_vs_autonomous,Deep-Learning-Classification,chatgpt,Deep-Learning-Classification/GENAIGREENML_autonomous_chatgpt.py,Deep-Learning-Classification/GENAIGREENML_original_telemetry_chatgpt.py,8202,1921,6281
original_vs_autonomous,Deep-Learning-Classification,codex,Deep-Learning-Classification/GENAIGREENML_autonomous_codex.py,Deep-Learning-Classification/GENAIGREENML_original_telemetry_chatgpt.py,6716,1921,4795
original_vs_autonomous,Deep-Learning-Classification,gemini,Deep-Learning-Classification/GENAIGREENML_autonomous_gemini.py,Deep-Learning-Classification/GENAIGREENML_original_telemetry_chatgpt.py,5450,1921,3529
original_vs_assisted,Deep-learning-classification-based-model-for-screening-compounds-with-hERG-inhibitory-activity,chatgpt,Deep-learning-classification-based-model-for-screening-compounds-with-hERG-inhibitory-activity/GENAIGREENML_assisted_chatgpt.py,Deep-learning-classification-based-model-for-screening-compounds-with-hERG-inhibitory-activity/GENAIGREENML_original_telemetry_chatgpt.py,6398,4198,2200
original_vs_assisted,Deep-learning-classification-based-model-for-screening-compounds-with-hERG-inhibitory-activity,claude,Deep-learning-classification-based-model-for-screening-compounds-with-hERG-inhibitory-activity/GENAIGREENML_assisted_claude.py,Deep-learning-classification-based-model-for-screening-compounds-with-hERG-inhibitory-activity/GENAIGREENML_original_telemetry_chatgpt.py,2939,4198,-1259
original_vs_assisted,Deep-learning-classification-based-model-for-screening-compounds-with-hERG-inhibitory-activity,codex,Deep-learning-classification-based-model-for-screening-compounds-with-hERG-inhibitory-activity/GENAIGREENML_assisted_codex.py,Deep-learning-classification-based-model-for-screening-compounds-with-hERG-inhibitory-activity/GENAIGREENML_original_telemetry_chatgpt.py,6544,4198,2346
original_vs_assisted,Deep-learning-classification-based-model-for-screening-compounds-with-hERG-inhibitory-activity,gemini,Deep-learning-classification-based-model-for-screening-compounds-with-hERG-inhibitory-activity/GENAIGREENML_assisted_gemini.py,Deep-learning-classification-based-model-for-screening-compounds-with-hERG-inhibitory-activity/GENAIGREENML_original_telemetry_chatgpt.py,3492,4198,-706
original_vs_autonomous,Deep-learning-classification-based-model-for-screening-compounds-with-hERG-inhibitory-activity,chatgpt,Deep-learning-classification-based-model-for-screening-compounds-with-hERG-inhibitory-activity/GENAIGREENML_autonomous_chatgpt.py,Deep-learning-classification-based-model-for-screening-compounds-with-hERG-inhibitory-activity/GENAIGREENML_original_telemetry_chatgpt.py,10135,4198,5937
original_vs_autonomous,Deep-learning-classification-based-model-for-screening-compounds-with-hERG-inhibitory-activity,codex,Deep-learning-classification-based-model-for-screening-compounds-with-hERG-inhibitory-activity/GENAIGREENML_autonomous_codex.py,Deep-learning-classification-based-model-for-screening-compounds-with-hERG-inhibitory-activity/GENAIGREENML_original_telemetry_chatgpt.py,7736,4198,3538
original_vs_autonomous,Deep-learning-classification-based-model-for-screening-compounds-with-hERG-inhibitory-activity,gemini,Deep-learning-classification-based-model-for-screening-compounds-with-hERG-inhibitory-activity/GENAIGREENML_autonomous_gemini.py,Deep-learning-classification-based-model-for-screening-compounds-with-hERG-inhibitory-activity/GENAIGREENML_original_telemetry_chatgpt.py,5205,4198,1007
original_vs_assisted,Diabetes-Classification-with-SVM,chatgpt,Diabetes-Classification-with-SVM/GENAIGREENML_assisted_chatgpt.py,Diabetes-Classification-with-SVM/GENAIGREENML_original_telemetry_chatgpt.py,3619,1611,2008
original_vs_assisted,Diabetes-Classification-with-SVM,claude,Diabetes-Classification-with-SVM/GENAIGREENML_assisted_claude.py,Diabetes-Classification-with-SVM/GENAIGREENML_original_telemetry_chatgpt.py,2366,1611,755
original_vs_assisted,Diabetes-Classification-with-SVM,codex,Diabetes-Classification-with-SVM/GENAIGREENML_assisted_codex.py,Diabetes-Classification-with-SVM/GENAIGREENML_original_telemetry_chatgpt.py,3120,1611,1509
original_vs_assisted,Diabetes-Classification-with-SVM,gemini,Diabetes-Classification-with-SVM/GENAIGREENML_assisted_gemini.py,Diabetes-Classification-with-SVM/GENAIGREENML_original_telemetry_chatgpt.py,2747,1611,1136
original_vs_autonomous,Diabetes-Classification-with-SVM,chatgpt,Diabetes-Classification-with-SVM/GENAIGREENML_autonomous_chatgpt.py,Diabetes-Classification-with-SVM/GENAIGREENML_original_telemetry_chatgpt.py,11572,1611,9961
original_vs_autonomous,Diabetes-Classification-with-SVM,claude,Diabetes-Classification-with-SVM/GENAIGREENML_autonomous_claude.py,Diabetes-Classification-with-SVM/GENAIGREENML_original_telemetry_chatgpt.py,3121,1611,1510
original_vs_autonomous,Diabetes-Classification-with-SVM,codex,Diabetes-Classification-with-SVM/GENAIGREENML_autonomous_codex.py,Diabetes-Classification-with-SVM/GENAIGREENML_original_telemetry_chatgpt.py,6955,1611,5344
original_vs_autonomous,Diabetes-Classification-with-SVM,gemini,Diabetes-Classification-with-SVM/GENAIGREENML_autonomous_gemini.py,Diabetes-Classification-with-SVM/GENAIGREENML_original_telemetry_chatgpt.py,5168,1611,3557
original_vs_assisted,Email-spam-detector,chatgpt,Email-spam-detector/GENAIGREENML_assisted_chatgpt.py,Email-spam-detector/GENAIGREENML_original_telemetry_chatgpt.py,3794,3061,733
original_vs_assisted,Email-spam-detector,claude,Email-spam-detector/GENAIGREENML_assisted_claude.py,Email-spam-detector/GENAIGREENML_original_telemetry_chatgpt.py,2581,3061,-480
original_vs_assisted,Email-spam-detector,codex,Email-spam-detector/GENAIGREENML_assisted_codex.py,Email-spam-detector/GENAIGREENML_original_telemetry_chatgpt.py,3223,3061,162
original_vs_assisted,Email-spam-detector,gemini,Email-spam-detector/GENAIGREENML_assisted_gemini.py,Email-spam-detector/GENAIGREENML_original_telemetry_chatgpt.py,4651,3061,1590
original_vs_autonomous,Email-spam-detector,chatgpt,Email-spam-detector/GENAIGREENML_autonomous_chatgpt.py,Email-spam-detector/GENAIGREENML_original_telemetry_chatgpt.py,11903,3061,8842
original_vs_autonomous,Email-spam-detector,codex,Email-spam-detector/GENAIGREENML_autonomous_codex.py,Email-spam-detector/GENAIGREENML_original_telemetry_chatgpt.py,8001,3061,4940
original_vs_autonomous,Email-spam-detector,gemini,Email-spam-detector/GENAIGREENML_autonomous_gemini.py,Email-spam-detector/GENAIGREENML_original_telemetry_chatgpt.py,4929,3061,1868
original_vs_assisted,FakeNewsPrediction,chatgpt,FakeNewsPrediction/GENAIGREENML_assisted_chatgpt.py,FakeNewsPrediction/GENAIGREENML_original_telemetry_chatgpt.py,4222,984,3238
original_vs_assisted,FakeNewsPrediction,claude,FakeNewsPrediction/GENAIGREENML_assisted_claude.py,FakeNewsPrediction/GENAIGREENML_original_telemetry_chatgpt.py,2597,984,1613
original_vs_assisted,FakeNewsPrediction,codex,FakeNewsPrediction/GENAIGREENML_assisted_codex.py,FakeNewsPrediction/GENAIGREENML_original_telemetry_chatgpt.py,3701,984,2717
original_vs_assisted,FakeNewsPrediction,gemini,FakeNewsPrediction/GENAIGREENML_assisted_gemini.py,FakeNewsPrediction/GENAIGREENML_original_telemetry_chatgpt.py,2515,984,1531
original_vs_autonomous,FakeNewsPrediction,chatgpt,FakeNewsPrediction/GENAIGREENML_autonomous_chatgpt.py,FakeNewsPrediction/GENAIGREENML_original_telemetry_chatgpt.py,10435,984,9451
original_vs_autonomous,FakeNewsPrediction,codex,FakeNewsPrediction/GENAIGREENML_autonomous_codex.py,FakeNewsPrediction/GENAIGREENML_original_telemetry_chatgpt.py,8365,984,7381
original_vs_autonomous,FakeNewsPrediction,gemini,FakeNewsPrediction/GENAIGREENML_autonomous_gemini.py,FakeNewsPrediction/GENAIGREENML_original_telemetry_chatgpt.py,4966,984,3982
original_vs_assisted,HWStudentGradPredictor,chatgpt,HWStudentGradPredictor/GENAIGREENML_assisted_chatgpt.py,HWStudentGradPredictor/GENAIGREENML_original_telemetry_chatgpt.py,4411,1003,3408
original_vs_assisted,HWStudentGradPredictor,claude,HWStudentGradPredictor/GENAIGREENML_assisted_claude.py,HWStudentGradPredictor/GENAIGREENML_original_telemetry_chatgpt.py,1663,1003,660
original_vs_assisted,HWStudentGradPredictor,codex,HWStudentGradPredictor/GENAIGREENML_assisted_codex.py,HWStudentGradPredictor/GENAIGREENML_original_telemetry_chatgpt.py,3433,1003,2430
original_vs_assisted,HWStudentGradPredictor,gemini,HWStudentGradPredictor/GENAIGREENML_assisted_gemini.py,HWStudentGradPredictor/GENAIGREENML_original_telemetry_chatgpt.py,1924,1003,921
original_vs_autonomous,HWStudentGradPredictor,chatgpt,HWStudentGradPredictor/GENAIGREENML_autonomous_chatgpt.py,HWStudentGradPredictor/GENAIGREENML_original_telemetry_chatgpt.py,8217,1003,7214
original_vs_autonomous,HWStudentGradPredictor,codex,HWStudentGradPredictor/GENAIGREENML_autonomous_codex.py,HWStudentGradPredictor/GENAIGREENML_original_telemetry_chatgpt.py,6460,1003,5457
original_vs_autonomous,HWStudentGradPredictor,gemini,HWStudentGradPredictor/GENAIGREENML_autonomous_gemini.py,HWStudentGradPredictor/GENAIGREENML_original_telemetry_chatgpt.py,4812,1003,3809
original_vs_assisted,IMDB-Sentiment-Analysis,chatgpt,IMDB-Sentiment-Analysis/GENAIGREENML_assisted_chatgpt.py,IMDB-Sentiment-Analysis/GENAIGREENML_original_telemetry_chatgpt.py,3343,1633,1710
